Year,Nominal,GAM,EUROPA
1950,46.7,142.2,
1951,269.4,806.4,
1952,292.8,1755.9,
1953,297.2,2240.8,
1954,367,3666.8,
1955,367,4908.4,
1956,389.3,3349,
1957,371.8,4031.4,
1958,371.4,4633,
1959,371.8,4634.2,
1960,367,4775.1,
1961,393.6,4923.1,
1962,487.5,4154.3,
1963,496.8,5083.8,
1964,2679,6643.5,
1965,1858.5,4562.8,
1966,2048.3,5627.2,
1967,2906.4,8970.3,
1968,2216.6,7994.2,
1969,2451.6,7928.9,
1970,1470,4967.6,
1971,1505.6,5246.2,9645.2
1972,1535.6,5258.8,10856.5
1973,1158,3300,12120.3
1974,1531.4,4688.6,14933.4
1975,1851.4,4972.6,14733.4
1976,1653.7,4721.8,16281.5
1977,1887.5,5264.1,19792.1
1978,2122.4,6290,17400.4
1979,1935.9,7828.5,15363.8
1980,2079.9,7421.8,16646.6
1981,2464.3,10052.3,14806.8
1982,2919,9662.9,17899.1
1983,2981.2,10632.1,16531.9
1984,3111.4,11045.4,15760.6
1985,2892.4,7110.5,16696.4
1986,2972.9,10451.6,20156.7
1987,2910.7,9739.9,23131.7
1988,3362.8,11386.6,25609.3
1989,3768.3,14461.2,28223.6
1990,3013.3,9950.3,29853.5
1991,3732.8,11671.5,29796.6
1992,3567.1,10910.5,37390.2
1993,5169,13254.4,47125.1
1994,6498.6,17119.8,43572.1
1995,6841.4,18086,41952.3
1996,7420.5,18830.5,47683.8
1997,8846.5,26936.7,50267.5
1998,8875.5,17166.9,51921.4
1999,12122.6,22099.3,54801.8
2000,12403.7,29921.3,51132.4
2001,10484,22442.4,52192.5
2002,11853.9,26747.7,54029
2003,15353.9,34442.1,56568.1
2004,21398.7,42023.7,71887.3
2005,24392.9,44193.5,72090.3
2006,21446.9,40243,65363.6
2007,23293,39064,62539
2008,24144.6,44061,55791.4
2009,26562.8,48335.9,54520.9
2010,27414.3,46638.7,56465.7
2011,28033.5,49033.8,61068.7
2012,28158.9,52931.3,71469.3
2013,32302.5,60400.4,70589.4
2014,29123.7,57867.2,70455.9
2015,29916.2,54735.3,67086.8
