Year,JPN.I,JPN.II,POR.II,ZAF,TAI.II,JPN.II3
1950,,,,,,
1951,,,,,,
1952,,,,,,
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,,,,,,
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,,,,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,1.44,,,,,
1977,1.33,,,,,
1978,2.09,,,,,
1979,1.30,,,,,
1980,0.94,,,,,
1981,0.99,,,,,
1982,1.09,,,,,
1983,1.03,,,,,
1984,1.21,,,,,
1985,1.61,,,,,
1986,1.46,,,,,
1987,1.56,,,,,
1988,1.93,,,,,
1989,1.32,,,,,
1990,1.38,,,,,
1991,1.22,,,,,
1992,2.27,,,,,
1993,2.36,,,,,
1994,,3.22,,,0.822189058,3.22
1995,,2.48,,,0.582132642,2.48
1996,,2.02,,,0.603786215,2.02
1997,,1.99,,,0.665587483,1.99
1998,,2.15,,,0.669510161,2.15
1999,,1.6,,,0.601275041,1.6
2000,,1.6,0.8351,,0.605285397,
2001,,1.94,0.8419,,0.662755032,
2002,,1.71,0.8119,,0.838595475,
2003,,1.34,0.793,,0.726544148,
2004,,1.13,0.6652,502.2629779,0.727925458,
2005,,1.11,0.5144,493.0097725,0.478107455,
2006,,1.02,0.6593,481.3319191,0.384340824,
2007,,1.25,0.676,395.9148486,0.41581467,
2008,,1.23,0.8172,561.8646132,0.429349178,
2009,,1.36,0.5168,376.1251253,0.405768204,
2010,,1.52,0.5834,460.635047,0.391586859,
2011,,,0.6145,509.4027042,0.404695889,
2012,,1.713455459,0.611,426.0686939,0.466527893,
2013,,1.182088624,0.5591,410.2134434,0.391373196,
2014,,0.837791057,0.4762,276.5311254,0.403773779,
2015,,1.908715151,0.6204,404.3769428,0.356216614,
